ISBN10,Author,reviews_count,seller_name,Title,categories
7350813,Emily Brontë,13451,Amazon,Wuthering Heights (Collins Classics),"[""Books"",""Literature & Fiction"",""Genre Fiction""]"
9.78E+12,Drew Daywalt,16628,VMG Books & Media,THE DAYS THE CRAYONS QUIT,"[""Books"",""Children's Books"",""Literature & Fiction""]"
8183988,Bernard Cornwell,11275,Reuseaworld,War Lord: Book 13 (The Last Kingdom Series),"[""Books"",""Literature & Fiction"",""Genre Fiction""]"
8305838,David Walliams,15520,Bahamut Media,Code Name Bananas: The hilarious and epic new children’s book from multi-million bestselling author David Walliams,"[""Books"",""Children's Books"",""Literature & Fiction""]"
8375526,Caroline Hirons,10884,KathrynAshleyGallery,Skincare: The award-winning ultimate no-nonsense guide and Sunday Times No. 1 best-seller,"[""Books"",""Crafts, Hobbies & Home"",""Home Improvement & Design""]"
8387753,J. R. R. Tolkien,20453,Basi6 InternationalBasi6 International,The Hobbit & The Lord of the Rings Boxed Set,"[""Books"",""Literature & Fiction"",""Mythology & Folk Tales""]"
8433941,J. R. R. Tolkien,10261,tabletoparttabletopart,The Silmarillion,"[""Books"",""Literature & Fiction"",""Genre Fiction""]"
60244887,C. S. Lewis,11222,Amazon,The Chronicles of Narnia (Box Set),"[""Books"",""Children's Books"",""Literature & Fiction""]"
60254920,Maurice Sendak,27536,-OnTimeBooks-,Where the Wild Things Are,"[""Books"",""Children's Books"",""Science Fiction & Fantasy""]"
60256656,Shel Silverstein,23158,FindAnyBook,The Giving Tree,"[""Books"",""Children's Books"",""Classics""]"
9.78E+12,Benjamin GrahamJason Zweig,28414,Benjamins Bookshelf,The Intelligent Investor Rev Ed.: The Definitive Book on Value Investing,"[""Books"",""Business & Money"",""Investing""]"
62429078,Karin Slaughter,10050,Amazon,Pretty Girls,"[""Books"",""Mystery, Thriller & Suspense"",""Thrillers & Suspense""]"
60652888,C. S. Lewis,10958,Media Relay LLC,Mere Christianity,"[""Books"",""Christian Books & Bibles"",""Christian Living""]"
60652926,C. S. Lewis,10958,Viva Liber Books LLC,Mere Christianity,"[""Books"",""Christian Books & Bibles"",""Christian Living""]"
62909711,by Dr. Steven R Gundry MD (Author),12492,TheWorldShopUSATheWorldShopUSA,"The Plant Paradox: The Hidden Dangers in ""Healthy"" Foods That Cause Disease and Weight Gain (The Plant Paradox, 1)","[""Books"",""Health, Fitness & Dieting"",""Diets & Weight Loss""]"
62439596,Sally Thorne,14801,Amazon,The Hating Game: A Novel,"[""Books"",""Humor & Entertainment"",""Humor""]"
62931067,Cicely Tyson,17201,Blessed Book,Just as I Am: A Memoir,"[""Books"",""Biographies & Memoirs"",""Arts & Literature""]"
61992275,"by Katherine Applegate (Author), Patricia Castelao (Illustrator)",17657,ZBK Books,The One and Only Ivan,"[""Books"",""Children's Books"",""Arts, Music & Photography""]"
61992887,C. S. Lewis,11222,Open Books,Chronicles of Narnia Box Set,"[""Books"",""Children's Books"",""Literature & Fiction""]"
140177396,John Steinbeck,20075,giggil,Of Mice and Men,"[""Books"",""Politics & Social Sciences"",""Politics & Government""]"
140186425,John Steinbeck,20075,Murfbooks,Of Mice and Men (Penguin Great Books of the 20th Century),"[""Books"",""Politics & Social Sciences"",""Politics & Government""]"
62457713,Mark Manson,58209,Surfin' Jonny's Used Books.,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,"[""Books"",""Self-Help"",""Happiness""]"
62457799,Adam Silvera,18823,Amazon,They Both Die at the End,"[""Books"",""Teen & Young Adult"",""Literature & Fiction""]"
62457802,Adam Silvera,18823,Amazon,They Both Die at the End,"[""Books"",""Teen & Young Adult"",""Literature & Fiction""]"
62464310,Yuval Noah Harari,12984,Momma's Media,Homo Deus: A Brief History of Tomorrow,"[""Books"",""History"",""World""]"
62464345,Yuval Noah Harari,12984,Alex BooksandMore,Homo Deus: A Brief History of Tomorrow,"[""Books"",""History"",""World""]"
62466593,Kim Krans,19404,Goodwill Industries of Southern Nevada,The Wild Unknown Tarot Deck and Guidebook (Official Keepsake Box Set),"[""Books"",""Religion & Spirituality"",""New Age & Spirituality""]"
006246776X,Jory JohnPete Oswald,11122,"James River Sales, LLC",The Bad Seed (The Food Group),"[""Books"",""Children's Books"",""Growing Up & Facts of Life""]"
62943472,Kate Quinn,17211,Amazon,The Rose Code: A Novel,"[""Books"",""Literature & Fiction"",""Genre Fiction""]"
